Fingerprint Type, Similarity Method, Min Cluster Size, Min Samples, Num Clusters, Noise Fraction
Lingo, Dice, 100, 10, 4, 0.8987086359967716
Lingo, Dice, 100, 15, 2, 0.8306093623890234
MACCS, Cosine, 10, 1, 47, 0.39134382566585957
MACCS, Cosine, 10, 2, 34, 0.4580306698950767
MACCS, Cosine, 10, 3, 27, 0.517453591606134
MACCS, Cosine, 10, 5, 22, 0.5992736077481841
MACCS, Cosine, 10, 10, 20, 0.7351694915254238
MACCS, Cosine, 10, 15, 17, 0.7774414850686037
MACCS, Cosine, 20, 1, 13, 0.39527845036319614
MACCS, Cosine, 20, 2, 11, 0.45036319612590797
MACCS, Cosine, 20, 3, 9, 0.4730629539951574
MACCS, Cosine, 20, 5, 11, 0.6050242130750605
MACCS, Cosine, 20, 10, 9, 0.7315375302663438
MACCS, Cosine, 20, 15, 6, 0.7587772397094431
MACCS, Cosine, 50, 1, 2, 0.1967312348668281
MACCS, Cosine, 50, 2, 2, 0.2330508474576271
MACCS, Cosine, 50, 3, 2, 0.2696731234866828
MACCS, Cosine, 50, 5, 2, 0.6602098466505246
MACCS, Cosine, 50, 10, 4, 0.7461662631154157
MACCS, Cosine, 50, 15, 4, 0.7663438256658596
MACCS, Cosine, 100, 1, 2, 0.1967312348668281
MACCS, Cosine, 100, 2, 2, 0.547316384180791
MACCS, Cosine, 100, 3, 2, 0.5875706214689266
MACCS, Cosine, 100, 5, 2, 0.6602098466505246
MACCS, Cosine, 100, 10, 3, 0.7163034705407587
MACCS, Cosine, 100, 15, 2, 0.690677966101695
Lingo, Tanimoto, 10, 1, 177, 0.6802865213882163
Lingo, Tanimoto, 10, 2, 145, 0.7268966908797417
Lingo, Tanimoto, 10, 3, 112, 0.7644269572235673
Lingo, Tanimoto, 10, 5, 89, 0.8137610976594027
Lingo, Tanimoto, 10, 10, 49, 0.8653147699757869
Lingo, Tanimoto, 10, 15, 28, 0.9106133979015335
Lingo, Tanimoto, 20, 1, 63, 0.7309322033898306
Lingo, Tanimoto, 20, 2, 55, 0.7506053268765133
Lingo, Tanimoto, 20, 3, 49, 0.7974172719935432
Lingo, Tanimoto, 20, 5, 39, 0.8283898305084746
Lingo, Tanimoto, 20, 10, 25, 0.8852905569007264
Lingo, Tanimoto, 20, 15, 21, 0.8992130750605327
Lingo, Tanimoto, 50, 1, 21, 0.8008474576271186
Lingo, Tanimoto, 50, 2, 15, 0.8454398708635997
Lingo, Tanimoto, 50, 3, 13, 0.8703591606133979
Lingo, Tanimoto, 50, 5, 10, 0.9071832122679581
Lingo, Tanimoto, 50, 10, 7, 0.9026432606941082
Lingo, Tanimoto, 50, 15, 7, 0.8995157384987893
Lingo, Tanimoto, 100, 1, 9, 0.855225988700565
Lingo, Tanimoto, 100, 2, 9, 0.8713680387409201
Lingo, Tanimoto, 100, 3, 7, 0.8822639225181598
Lingo, Tanimoto, 100, 5, 4, 0.885088781275222
Lingo, Tanimoto, 100, 10, 4, 0.8987086359967716
Lingo, Tanimoto, 100, 15, 2, 0.8306093623890234
Circular, Dice, 10, 1, 226, 0.5678974979822438
Circular, Dice, 10, 2, 192, 0.6198547215496368
Circular, Dice, 10, 3, 166, 0.6494148506860371
Circular, Dice, 10, 5, 133, 0.7197336561743342
Circular, Dice, 10, 10, 77, 0.7862187247780468
Circular, Dice, 10, 15, 50, 0.8067998385794996
Circular, Dice, 20, 1, 96, 0.6161218724778047
Circular, Dice, 20, 2, 86, 0.6536521388216303
Circular, Dice, 20, 3, 76, 0.6978410008071025
Circular, Dice, 20, 5, 62, 0.7356739305891848
Circular, Dice, 20, 10, 43, 0.7673527037933817
Circular, Dice, 20, 15, 34, 0.7974172719935432
Circular, Dice, 50, 1, 31, 0.7284100080710251
Circular, Dice, 50, 2, 31, 0.7411218724778047
Circular, Dice, 50, 3, 25, 0.7814769975786925
Circular, Dice, 50, 5, 21, 0.7933817594834544
Circular, Dice, 50, 10, 19, 0.8261702986279258
Circular, Dice, 50, 15, 15, 0.8417070217917676
Circular, Dice, 100, 1, 12, 0.7227602905569007
Circular, Dice, 100, 2, 11, 0.7441485068603713
Circular, Dice, 100, 3, 10, 0.7771388216303471
Circular, Dice, 100, 5, 11, 0.7978208232445521
Circular, Dice, 100, 10, 8, 0.8908393866020985
Circular, Dice, 100, 15, 10, 0.8722760290556901
Lingo, Cosine, 10, 1, 173, 0.6756456820016142
Lingo, Cosine, 10, 2, 139, 0.7305286521388217
Lingo, Cosine, 10, 3, 109, 0.7673527037933817
Lingo, Cosine, 10, 5, 88, 0.8057909604519774
Lingo, Cosine, 10, 10, 51, 0.861682808716707
Lingo, Cosine, 10, 15, 28, 0.8982041969330105
Lingo, Cosine, 20, 1, 62, 0.7360774818401937
Lingo, Cosine, 20, 2, 54, 0.7573648103309121
Lingo, Cosine, 20, 3, 49, 0.7985270379338176
Lingo, Cosine, 20, 5, 39, 0.8291969330104924
Lingo, Cosine, 20, 10, 25, 0.8862994350282486
Lingo, Cosine, 20, 15, 21, 0.8982041969330105
Lingo, Cosine, 50, 1, 20, 0.8086158192090396
Lingo, Cosine, 50, 2, 16, 0.841908797417272
Lingo, Cosine, 50, 3, 13, 0.8733857949959645
Lingo, Cosine, 50, 5, 10, 0.9087974172719936
Lingo, Cosine, 50, 10, 7, 0.9014326069410815
Lingo, Cosine, 50, 15, 8, 0.9142453591606134
Lingo, Cosine, 100, 1, 9, 0.857546408393866
Lingo, Cosine, 100, 2, 9, 0.8730831315577078
Lingo, Cosine, 100, 3, 6, 0.8530064568200162
Lingo, Cosine, 100, 5, 4, 0.8843825665859564
Lingo, Cosine, 100, 10, 4, 0.8975988700564972
Lingo, Cosine, 100, 15, 3, 0.8219330104923325
MACCS, Dice, 10, 1, 50, 0.3944713478611784
MACCS, Dice, 10, 2, 38, 0.461864406779661
MACCS, Dice, 10, 3, 28, 0.5255246166263116
MACCS, Dice, 10, 5, 25, 0.6092615012106537
MACCS, Dice, 10, 10, 23, 0.7361783696529459
MACCS, Dice, 10, 15, 19, 0.7659402744148507
MACCS, Dice, 20, 1, 15, 0.4159604519774011
MACCS, Dice, 20, 2, 11, 0.47326472962066185
MACCS, Dice, 20, 3, 11, 0.5429782082324455
MACCS, Dice, 20, 5, 12, 0.6226795803066989
MACCS, Dice, 20, 10, 11, 0.7532284100080711
MACCS, Dice, 20, 15, 8, 0.7547417271993543
MACCS, Dice, 50, 1, 3, 0.44289749798224376
MACCS, Dice, 50, 2, 2, 0.22770379338175947
MACCS, Dice, 50, 3, 2, 0.26987489911218726
MACCS, Dice, 50, 5, 2, 0.6532485875706214
MACCS, Dice, 50, 10, 4, 0.7453591606133979
MACCS, Dice, 50, 15, 5, 0.7645278450363197
MACCS, Dice, 100, 1, 2, 0.5027239709443099
MACCS, Dice, 100, 2, 2, 0.5480225988700564
MACCS, Dice, 100, 3, 2, 0.5934221146085553
MACCS, Dice, 100, 5, 2, 0.6532485875706214
MACCS, Dice, 100, 10, 3, 0.7188256658595642
MACCS, Dice, 100, 15, 2, 0.6690879741727199
