Fingerprint Type, Similarity Method, Min Cluster Size, Min Samples, Num Clusters, Noise Fraction
Lingo, Dice, 100, 10, 4, 0.8942695722356739
Lingo, Dice, 100, 15, 3, 0.8186037126715093
MACCS, Cosine, 10, 1, 73, 0.36289346246973364
MACCS, Cosine, 10, 2, 73, 0.36289346246973364
MACCS, Cosine, 10, 3, 58, 0.4268563357546408
MACCS, Cosine, 10, 5, 46, 0.5363196125907991
MACCS, Cosine, 10, 10, 31, 0.6983454398708636
MACCS, Cosine, 10, 15, 28, 0.764225181598063
MACCS, Cosine, 20, 1, 16, 0.3862994350282486
MACCS, Cosine, 20, 2, 16, 0.3862994350282486
MACCS, Cosine, 20, 3, 14, 0.4720540758676352
MACCS, Cosine, 20, 5, 11, 0.573547215496368
MACCS, Cosine, 20, 10, 13, 0.7205407586763519
MACCS, Cosine, 20, 15, 8, 0.777542372881356
MACCS, Cosine, 50, 1, 3, 0.2581719128329298
MACCS, Cosine, 50, 2, 3, 0.2581719128329298
MACCS, Cosine, 50, 3, 3, 0.2970137207425343
MACCS, Cosine, 50, 5, 2, 0.3029661016949153
MACCS, Cosine, 50, 10, 4, 0.726089588377724
MACCS, Cosine, 50, 15, 4, 0.7866222760290557
MACCS, Cosine, 100, 1, 2, 0.19410815173527038
MACCS, Cosine, 100, 2, 2, 0.19410815173527038
MACCS, Cosine, 100, 3, 2, 0.22962066182405166
MACCS, Cosine, 100, 5, 2, 0.6253026634382567
MACCS, Cosine, 100, 10, 4, 0.726089588377724
MACCS, Cosine, 100, 15, 2, 0.6779661016949152
Lingo, Tanimoto, 10, 1, 191, 0.6579903147699758
Lingo, Tanimoto, 10, 2, 191, 0.6579903147699758
Lingo, Tanimoto, 10, 3, 153, 0.7119652945924132
Lingo, Tanimoto, 10, 5, 115, 0.7692695722356739
Lingo, Tanimoto, 10, 10, 69, 0.8495762711864406
Lingo, Tanimoto, 10, 15, 49, 0.8809523809523809
Lingo, Tanimoto, 20, 1, 66, 0.7184221146085553
Lingo, Tanimoto, 20, 2, 66, 0.7184221146085553
Lingo, Tanimoto, 20, 3, 58, 0.7377925746569814
Lingo, Tanimoto, 20, 5, 47, 0.8050847457627118
Lingo, Tanimoto, 20, 10, 29, 0.8693502824858758
Lingo, Tanimoto, 20, 15, 24, 0.8821630347054076
Lingo, Tanimoto, 50, 1, 22, 0.7850080710250201
Lingo, Tanimoto, 50, 2, 22, 0.7850080710250201
Lingo, Tanimoto, 50, 3, 16, 0.8331315577078289
Lingo, Tanimoto, 50, 5, 14, 0.880548829701372
Lingo, Tanimoto, 50, 10, 7, 0.8985068603712671
Lingo, Tanimoto, 50, 15, 8, 0.9112187247780468
Lingo, Tanimoto, 100, 1, 10, 0.839588377723971
Lingo, Tanimoto, 100, 2, 10, 0.839588377723971
Lingo, Tanimoto, 100, 3, 10, 0.8591606133979015
Lingo, Tanimoto, 100, 5, 5, 0.8684422921711057
Lingo, Tanimoto, 100, 10, 4, 0.8942695722356739
Lingo, Tanimoto, 100, 15, 3, 0.8186037126715093
Circular, Dice, 10, 1, 283, 0.4704398708635997
Circular, Dice, 10, 2, 283, 0.4704398708635997
Circular, Dice, 10, 3, 251, 0.5102905569007264
Circular, Dice, 10, 5, 209, 0.5755649717514124
Circular, Dice, 10, 10, 174, 0.6321630347054076
Circular, Dice, 10, 15, 175, 0.6323648103309121
Circular, Dice, 20, 1, 117, 0.5380347054075868
Circular, Dice, 20, 2, 117, 0.5380347054075868
Circular, Dice, 20, 3, 110, 0.5633575464083939
Circular, Dice, 20, 5, 94, 0.637409200968523
Circular, Dice, 20, 10, 67, 0.6835149313962873
Circular, Dice, 20, 15, 60, 0.6981436642453591
Circular, Dice, 50, 1, 39, 0.6609160613397902
Circular, Dice, 50, 2, 39, 0.6609160613397902
Circular, Dice, 50, 3, 40, 0.6568805488297014
Circular, Dice, 50, 5, 27, 0.7174132364810331
Circular, Dice, 50, 10, 24, 0.7813761097659403
Circular, Dice, 50, 15, 22, 0.787227602905569
Circular, Dice, 100, 1, 14, 0.7217514124293786
Circular, Dice, 100, 2, 14, 0.7217514124293786
Circular, Dice, 100, 3, 13, 0.7069209039548022
Circular, Dice, 100, 5, 13, 0.8042776432606941
Circular, Dice, 100, 10, 9, 0.8730831315577078
Circular, Dice, 100, 15, 13, 0.8383777239709443
Lingo, Cosine, 10, 1, 174, 0.674636803874092
Lingo, Cosine, 10, 2, 174, 0.674636803874092
Lingo, Cosine, 10, 3, 138, 0.731638418079096
Lingo, Cosine, 10, 5, 98, 0.7979217110573043
Lingo, Cosine, 10, 10, 57, 0.8651129943502824
Lingo, Cosine, 10, 15, 31, 0.8927562550443906
Lingo, Cosine, 20, 1, 62, 0.7359765940274415
Lingo, Cosine, 20, 2, 62, 0.7359765940274415
Lingo, Cosine, 20, 3, 53, 0.7596852300242131
Lingo, Cosine, 20, 5, 40, 0.822134786117837
Lingo, Cosine, 20, 10, 28, 0.879136400322841
Lingo, Cosine, 20, 15, 20, 0.8955811138014528
Lingo, Cosine, 50, 1, 20, 0.8086158192090396
Lingo, Cosine, 50, 2, 20, 0.8086158192090396
Lingo, Cosine, 50, 3, 16, 0.8422114608555287
Lingo, Cosine, 50, 5, 11, 0.8980024213075061
Lingo, Cosine, 50, 10, 7, 0.8988095238095238
Lingo, Cosine, 50, 15, 8, 0.9101089588377724
Lingo, Cosine, 100, 1, 9, 0.857546408393866
Lingo, Cosine, 100, 2, 9, 0.857546408393866
Lingo, Cosine, 100, 3, 9, 0.8731840193704601
Lingo, Cosine, 100, 5, 5, 0.8671307506053268
Lingo, Cosine, 100, 10, 4, 0.893866020984665
Lingo, Cosine, 100, 15, 3, 0.8183010492332526
MACCS, Dice, 10, 1, 168, 0.2009685230024213
MACCS, Dice, 10, 2, 168, 0.2009685230024213
MACCS, Dice, 10, 3, 157, 0.24394673123486682
MACCS, Dice, 10, 5, 195, 0.2867231638418079
MACCS, Dice, 10, 10, 215, 0.39033494753833736
MACCS, Dice, 10, 15, 246, 0.41717110573042776
MACCS, Dice, 20, 1, 54, 0.315274414850686
MACCS, Dice, 20, 2, 54, 0.315274414850686
MACCS, Dice, 20, 3, 68, 0.33171912832929784
MACCS, Dice, 20, 5, 68, 0.4215092816787732
MACCS, Dice, 20, 10, 74, 0.548728813559322
MACCS, Dice, 20, 15, 69, 0.6162227602905569
MACCS, Dice, 50, 1, 10, 0.4075867635189669
MACCS, Dice, 50, 2, 10, 0.4075867635189669
MACCS, Dice, 50, 3, 12, 0.4523809523809524
MACCS, Dice, 50, 5, 10, 0.562953995157385
MACCS, Dice, 50, 10, 11, 0.6956214689265536
MACCS, Dice, 50, 15, 13, 0.7085351089588378
MACCS, Dice, 100, 1, 4, 0.41545601291364004
MACCS, Dice, 100, 2, 4, 0.41545601291364004
MACCS, Dice, 100, 3, 2, 0.22659402744148507
MACCS, Dice, 100, 5, 4, 0.5979620661824052
MACCS, Dice, 100, 10, 5, 0.6784705407586763
MACCS, Dice, 100, 15, 5, 0.6995560936238903
